instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport15,1.210526,0.575412,0.492720,1.068132,36386,7012,24774,24774,0
airport13,+Inf,0.606164,0.195283,0.801447,63129,10454,36607,36607,0
airport19,+Inf,0.806310,0.237567,1.043877,57143,11912,40484,40484,0
airport18,+Inf,0.890135,0.049370,0.939505,61743,6764,23353,23353,0
airport27,+Inf,1.002068,0.065287,1.067355,71850,6405,22639,22639,0
airport11,+Inf,0.804358,0.258306,1.062664,83228,10157,36808,36808,0
airport14,+Inf,0.739865,0.126952,0.866817,53945,7670,29295,29295,0
airport25,+Inf,0.450288,0.082366,0.532654,35695,4868,15775,15775,0
airport24,+Inf,1.205464,0.690663,1.896127,84297,10926,40848,40848,0
airport0,+Inf,1.067742,0.259019,1.326761,81483,11656,41639,41639,0
airport17,1.210526,1.440111,1.006768,2.446879,90025,8938,32053,32053,0
airport20,+Inf,0.455599,0.550163,1.005762,47154,7481,25270,25270,0
airport16,1.049786,1.006926,0.595191,1.602117,74232,9260,32630,32630,0
airport10,+Inf,1.248730,0.129080,1.377810,109429,9868,35642,35642,0
airport21,0.631579,0.715327,0.148072,0.863399,47691,5405,19408,19408,0
airport12,+Inf,1.612033,0.355551,1.967584,122918,13397,51493,51493,0
airport1,2.728319,0.987997,1.564426,2.552423,84311,11477,40547,40547,0
airport18,+Inf,0.700404,0.103539,0.803943,61779,6800,23405,23405,1
airport19,+Inf,0.787990,0.341490,1.129480,57173,11942,40523,40523,1
airport25,+Inf,0.492689,0.091964,0.584653,35719,4892,15809,15809,1
airport27,+Inf,1.038499,0.108321,1.146820,71880,6435,22684,22684,1
airport24,+Inf,1.193041,0.610663,1.803704,84329,10958,40894,40894,1
airport11,+Inf,1.301972,0.218808,1.520780,83252,10181,36842,36842,1
airport13,+Inf,1.060969,0.301614,1.362583,63155,10480,36642,36642,1
airport15,0.894737,0.487817,1.110599,1.598416,36412,7038,24811,24811,1
airport21,0.842105,0.598440,0.205881,0.804321,47717,5431,19447,19447,1
airport0,+Inf,1.470231,0.302430,1.772661,81519,11692,41687,41687,1
airport16,1.207680,0.960098,0.670923,1.631021,74262,9290,32673,32673,1
airport20,+Inf,0.671503,0.474431,1.145934,47176,7503,25301,25301,1
airport1,2.359898,1.057127,1.097789,2.154916,84341,11507,40590,40590,1
airport17,0.894737,1.506896,0.857111,2.364007,90053,8966,32093,32093,1
airport14,+Inf,0.658743,0.093199,0.751942,53973,7698,29337,29337,1
airport10,+Inf,1.278229,0.110405,1.388634,109459,9898,35685,35685,1
airport12,+Inf,1.515755,0.277172,1.792927,122950,13429,51539,51539,1
airport28,+Inf,0.521786,0.061879,0.583665,44716,4522,15337,15337,0
airport19,+Inf,0.754695,0.369462,1.124157,57203,11972,40562,40562,2
airport15,1.024878,0.587923,0.656677,1.244600,36444,7070,24857,24857,2
airport11,+Inf,0.970530,0.216089,1.186619,83278,10207,36879,36879,2
airport24,+Inf,1.101745,0.551891,1.653636,84359,10988,40937,40937,2
airport29,+Inf,1.225760,0.732690,1.958450,72385,14513,48726,48726,0
airport16,1.365575,0.853518,0.732512,1.586030,74296,9324,32722,32722,2
airport18,+Inf,0.950936,0.077155,1.028091,61815,6836,23457,23457,2
airport27,+Inf,0.793441,0.061347,0.854788,71912,6467,22732,22732,2
airport25,+Inf,0.383132,0.077061,0.460193,35745,4918,15846,15846,2
airport1,2.465161,1.016233,1.153315,2.169548,84375,11541,40639,40639,2
airport13,+Inf,1.025491,0.275767,1.301258,63187,10512,36686,36686,2
airport0,+Inf,1.198157,0.305964,1.504121,81555,11728,41735,41735,2
airport17,1.000000,1.324282,0.841511,2.165793,90083,8996,32136,32136,2
airport2,1.157895,0.807283,0.159961,0.967244,54106,5084,17436,17436,0
airport21,0.631579,0.767548,0.186674,0.954222,47743,5457,19486,19486,2
airport14,+Inf,0.637760,0.093540,0.731300,54003,7728,29382,29382,2
airport10,+Inf,1.269693,0.134294,1.403987,109489,9928,35728,35728,2
airport20,+Inf,0.551135,0.696166,1.247301,47202,7529,25338,25338,2
airport12,+Inf,1.715951,0.269777,1.985728,122982,13461,51585,51585,2
airport30,+Inf,0.528558,0.323034,0.851592,47212,7505,25845,25845,0
airport28,+Inf,0.515639,0.056810,0.572449,44750,4556,15388,15388,1
