airport19,+Inf,0.508307,0.057445,0.565752,10855,10819,25574,25574,0
airport15,1.210526,0.325790,0.124734,0.450524,7849,7827,18667,18667,0
airport27,+Inf,0.526066,0.053819,0.579885,10075,10037,23363,23363,0
airport13,+Inf,0.605584,0.058556,0.664140,10107,10067,23422,23422,0
airport25,+Inf,0.268851,0.038979,0.307830,5639,5615,12373,12373,0
airport11,+Inf,0.678653,0.067628,0.746281,12177,12125,28359,28359,0
airport21,0.631579,0.351341,0.125897,0.477238,8519,8489,19898,19898,0
airport14,+Inf,0.453834,0.049344,0.503178,10367,10337,24869,24869,0
airport20,+Inf,0.395819,0.035110,0.430929,7469,7435,16704,16704,0
airport18,+Inf,0.489719,0.063827,0.553546,8827,8797,20139,20139,0
airport24,+Inf,0.715086,0.065220,0.780306,13381,13333,31777,31777,0
airport16,1.049786,0.606589,0.240303,0.846892,10659,10617,24483,24483,0
airport0,+Inf,0.687773,0.059073,0.746846,12361,12319,28999,28999,0
airport17,1.210526,0.721251,0.198792,0.920043,11865,11815,27305,27305,0
airport1,2.728319,0.716167,0.270005,0.986172,11641,11593,26818,26818,0
airport12,+Inf,1.076481,0.092134,1.168615,16577,16515,39484,39484,0
airport10,+Inf,0.933957,0.091072,1.025029,13733,13675,31969,31969,0
airport2,1.157895,0.417786,0.095587,0.513373,7921,7897,18090,18090,0
airport29,+Inf,0.628410,0.077584,0.705994,13339,13293,31865,31865,0
airport28,+Inf,0.358272,0.046684,0.404956,6943,6923,15837,15837,0
airport30,+Inf,0.421232,0.038775,0.460007,7807,7783,17782,17782,0
airport32,0.947368,0.424503,0.116238,0.540741,8305,8271,18885,18885,0
airport40,+Inf,0.359819,0.033119,0.392938,7239,7211,16353,16353,0
airport34,+Inf,0.406739,0.042966,0.449705,9359,9333,22342,22342,0
airport31,+Inf,0.625591,0.053109,0.678700,11067,11021,25705,25705,0
airport38,+Inf,0.322716,0.027951,0.350667,6111,6087,13507,13507,0
airport27,+Inf,0.583928,0.049097,0.633025,10105,10067,23408,23408,1
airport15,0.894737,0.334332,0.114775,0.449107,7875,7853,18706,18706,1
airport19,+Inf,0.518928,0.047784,0.566712,10885,10849,25619,25619,1
airport13,+Inf,0.576618,0.049390,0.626008,10133,10093,23461,23461,1
airport43,+Inf,0.368766,0.032663,0.401429,6927,6905,15939,15939,0
airport25,+Inf,0.291818,0.040639,0.332457,5663,5639,12409,12409,1
airport21,0.842105,0.474757,0.124962,0.599719,8545,8515,19937,19937,1
