instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport48,+Inf,0.435879,0.069935,0.505814,53393,6547,26535,26535,0
airport30,+Inf,0.395840,0.039528,0.435368,50650,4869,17194,17194,2
airport36,+Inf,0.778532,0.081234,0.859766,98585,8164,30534,30534,1
airport49,+Inf,0.563259,0.049849,0.613108,72048,5977,21974,21974,0
airport38,+Inf,0.321356,0.050269,0.371625,43100,3901,13050,13050,1
airport4,+Inf,0.383442,0.057714,0.441156,47799,4406,14876,14876,0
airport32,0.842105,0.421301,0.180971,0.602272,56845,5132,18265,18265,2
airport40,+Inf,0.364459,0.037767,0.402226,49232,4542,15878,15878,1
airport52,+Inf,0.511212,0.055804,0.567016,67254,5495,19695,19695,0
airport31,+Inf,0.630394,0.067094,0.697488,77593,6705,24847,24847,2
airport37,1.607547,0.778901,0.341391,1.120292,97135,7108,25632,25632,1
airport39,+Inf,0.862205,0.061270,0.923475,101453,8358,31933,31933,1
airport3,0.421053,0.770987,0.429680,1.200667,102323,7903,29397,29397,1
airport51,1.526316,0.858168,0.303397,1.161565,102510,7484,27782,27782,0
airport34,+Inf,0.505077,0.062969,0.568046,49765,5647,21845,21845,2
airport43,+Inf,0.312749,0.031563,0.344312,41327,4249,15467,15467,1
airport50,2.092732,0.468522,0.187527,0.656049,60387,5392,19352,19352,0
airport33,+Inf,0.670947,0.065779,0.736726,88399,7443,27873,27873,2
airport35,+Inf,0.791287,0.084645,0.875932,99277,8636,33416,33416,2
airport53,+Inf,0.761983,0.055585,0.817568,97629,7971,30385,30385,0
airport54,+Inf,0.699011,0.063164,0.762175,86182,7168,26630,26630,0
airport44,0.789474,0.616505,0.248874,0.865379,80450,6042,21599,21599,1
airport36,+Inf,0.777749,0.071194,0.848943,98611,8190,30573,30573,2
airport55,+Inf,0.673552,0.052427,0.725979,88915,6538,23631,23631,0
airport38,+Inf,0.321144,0.042809,0.363953,43130,3931,13095,13095,2
airport58,+Inf,0.361556,0.030195,0.391751,46723,4379,15180,15180,0
airport56,+Inf,0.437997,0.057619,0.495616,58811,4824,16793,16793,0
airport40,+Inf,0.362015,0.047651,0.409666,49262,4572,15923,15923,2
airport37,1.631579,0.762622,0.319780,1.082402,97167,7140,25680,25680,2
airport47,+Inf,0.353048,0.035522,0.388570,41901,4317,15093,15093,1
airport45,+Inf,0.543142,0.046195,0.589337,68291,5734,20528,20528,1
airport57,1.473684,0.586437,0.168832,0.755269,71946,5894,21318,21318,0
airport39,+Inf,0.777344,0.073136,0.850480,101495,8400,31996,31996,2
airport48,+Inf,0.475632,0.070359,0.545991,53421,6575,26577,26577,1
airport3,0.210526,0.769390,0.491691,1.261081,102353,7933,29442,29442,2
airport59,2.413995,0.372432,0.240583,0.613015,47223,4159,14254,14254,0
airport49,+Inf,0.635218,0.049191,0.684409,72076,6005,22016,22016,1
airport4,+Inf,0.381556,0.034680,0.416236,47821,4428,14909,14909,1
airport61,+Inf,0.487478,0.058751,0.546229,63982,5701,21203,21203,0
airport43,+Inf,0.311363,0.047123,0.358486,41357,4279,15512,15512,2
airport52,+Inf,0.507546,0.056356,0.563902,67280,5521,19734,19734,1
airport5,2.189025,0.514731,0.345084,0.859815,68123,5861,21535,21535,0
airport44,0.894737,0.629318,0.251444,0.880762,80480,6072,21644,21644,2
airport51,1.115176,0.801297,0.311479,1.112776,102544,7518,27833,27833,1
airport60,+Inf,0.488923,0.066567,0.555490,58840,6207,23884,23884,0
airport50,1.776942,0.475805,0.194111,0.669916,60417,5422,19397,19397,1
airport64,1.349042,0.359462,0.202560,0.562022,45453,4865,18035,18035,0
airport62,+Inf,0.657495,0.058913,0.716408,87779,7383,28161,28161,0
airport47,+Inf,0.346892,0.036100,0.382992,41929,4345,15135,15135,2
airport53,+Inf,0.780744,0.078683,0.859427,97659,8001,30430,30430,1
airport45,+Inf,0.552141,0.059720,0.611861,68323,5766,20576,20576,2
airport54,+Inf,0.709324,0.052300,0.761624,86210,7196,26672,26672,1
airport4,+Inf,0.388969,0.035532,0.424501,47843,4450,14942,14942,2
airport48,+Inf,0.452400,0.062916,0.515316,53451,6605,26622,26622,2
airport55,+Inf,0.809874,0.066695,0.876569,88947,6570,23679,23679,1
airport63,2.094756,0.721172,0.434267,1.155439,84169,6404,23111,23111,0
airport66,+Inf,0.863967,0.071562,0.935529,103560,7182,26126,26126,0
airport67,+Inf,0.386986,0.034011,0.420997,41485,4067,13985,13985,0
airport56,+Inf,0.446507,0.051392,0.497899,58845,4858,16844,16844,1
airport68,+Inf,0.421688,0.045999,0.467687,55626,4630,15928,15928,0
airport49,+Inf,0.663012,0.049943,0.712955,72106,6035,22061,22061,2
airport58,+Inf,0.369156,0.036180,0.405336,46751,4407,15222,15222,1
airport65,1.285714,0.531779,0.227593,0.759372,65051,6133,22719,22719,0
airport57,1.894737,0.594308,0.181593,0.775901,71982,5930,21372,21372,1
airport51,1.263158,0.806376,0.343161,1.149537,102578,7552,27884,27884,2
airport52,+Inf,0.724421,0.057945,0.782366,67308,5549,19776,19776,2
airport59,2.466627,0.375610,0.168480,0.544090,47251,4187,14296,14296,1
airport50,1.882206,0.477619,0.199824,0.677443,60447,5452,19442,19442,2
airport72,0.789474,0.289369,0.120417,0.409786,37675,3935,13772,13772,0
airport61,+Inf,0.561205,0.059751,0.620956,64012,5731,21248,21248,1
airport5,2.241657,0.552862,0.367304,0.920166,68153,5891,21580,21580,1
airport6,+Inf,0.775669,0.066162,0.841831,102343,8747,35314,35314,0
airport53,+Inf,0.781331,0.091916,0.873247,97693,8035,30481,30481,2
airport71,+Inf,0.694001,0.068378,0.762379,85702,6778,24592,24592,0
airport54,+Inf,0.707374,0.064268,0.771642,86236,7222,26711,26711,2
airport55,+Inf,0.702276,0.077542,0.779818,88979,6602,23727,23727,2
airport60,+Inf,0.490632,0.066896,0.557528,58874,6241,23935,23935,1
airport58,+Inf,0.371278,0.037307,0.408585,46779,4435,15264,15264,2
airport62,+Inf,0.659692,0.067494,0.727186,87811,7415,28209,28209,1
airport56,+Inf,0.448362,0.050844,0.499206,58881,4894,16898,16898,2
airport64,1.506937,0.359720,0.203307,0.563027,45481,4893,18077,18077,1
airport57,1.842105,0.597528,0.186738,0.784266,72020,5968,21429,21429,2
airport63,1.778966,0.653840,0.456724,1.110564,84193,6428,23147,23147,1
airport77,+Inf,0.513002,0.076985,0.589987,65532,6363,25199,25199,0
airport70,+Inf,0.633773,0.077384,0.711157,80563,8283,33945,33945,0
airport75,+Inf,0.715255,0.070463,0.785718,92333,6508,23495,23495,0
airport74,1.210526,0.425664,0.131151,0.556815,53188,4886,17090,17090,0
airport66,+Inf,0.871602,0.073119,0.944721,103598,7220,26183,26183,1
airport67,+Inf,0.331559,0.046450,0.378009,41515,4097,14030,14030,1
airport61,+Inf,0.499947,0.062231,0.562178,64046,5765,21299,21299,2
airport59,2.519259,0.375374,0.144260,0.519634,47281,4217,14341,14341,2
airport68,+Inf,0.426193,0.033204,0.459397,55662,4666,15982,15982,1
airport65,1.022556,0.530059,0.233272,0.763331,65087,6169,22773,22773,1
airport73,1.771652,0.628679,0.275372,0.904051,76189,6119,21895,21895,0
