instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
grid64nDr1nDe1,2.508772,1.654276,0.194619,1.848895,214384,8609,17027,17027
grid64nDr0nDe3,6.258145,2.167244,0.421427,2.588671,275030,10509,21211,21211
grid66nDr0nDe1,3.077694,0.984307,0.114532,1.098839,128440,5467,10365,10365
grid65nDr1nDe0,2.105263,1.947512,0.226513,2.174025,250114,10214,20367,20367
grid65nDr0nDe1,13.979950,1.964965,0.310278,2.275243,250120,10218,20375,20375
grid66nDr1nDe0,2.157895,0.407644,0.047536,0.455180,51686,2611,4541,4541
grid65nDr1nDe1,2.604010,1.865539,0.360053,2.225592,235029,9715,19237,19237
metroplex47nDr0nDe1,1.716792,3.298958,0.565161,3.864119,417512,11147,41088,41088
metroplex48nDr1nDe1,6.751880,1.305547,0.261918,1.567465,166065,5062,16182,16182
grid66nDr1nDe1,6.260652,1.528308,0.153798,1.682106,188780,7291,14310,14310
metroplex48nDr0nDe2,4.082707,2.576056,0.741555,3.317611,330520,9268,33448,33448
grid65nDr0nDe2,10.601504,2.725588,0.683522,3.409110,350162,13582,27757,27757
grid68nDr0nDe1,4.927318,0.457519,0.047744,0.505263,58111,3131,5461,5461
metroplex49nDr0nDe1,7.919799,2.566265,0.994834,3.561099,336636,8565,30502,30502
metroplex21nDr0nDe2,21.220551,3.699382,20.066830,23.766212,464382,9985,34687,34687
grid67nDr1nDe0,1.789474,2.702162,0.338669,3.040831,333639,12660,26071,26071
grid66nDr0nDe2,8.493734,2.027806,0.307142,2.334948,261896,9121,18269,18269
metroplex48nDr1nDe0,2.105263,3.388027,1.809818,5.197845,429845,11221,41380,41380
grid66nDr0nDe3,10.513784,1.869183,0.593223,2.462406,239004,8497,17008,17008
metroplex48nDr0nDe3,5.654135,2.586152,0.736681,3.322833,330526,9272,33454,33454
metroplex48nDr0nDe1,8.303258,3.360751,1.675498,5.036249,429851,11225,41388,41388
grid67nDr1nDe1,3.431078,2.360499,0.404726,2.765225,299921,11579,23632,23632
grid68nDr1nDe0,1.947368,0.054023,0.033704,0.087727,6698,691,977,977
grid67nDr0nDe2,6.330827,2.885683,0.634661,3.520344,371350,13654,28257,28257
metroplex49nDr1nDe0,2.947368,2.617151,0.456406,3.073557,336576,8515,30425,30425
grid67nDr0nDe1,13.676692,2.597999,0.870556,3.468555,333699,12716,26157,26157
grid68nDr0nDe3,12.225564,0.487518,0.059064,0.546582,61972,3405,5968,5968
grid69nDr0nDe1,3.022556,0.648810,0.074938,0.723748,83219,4189,7576,7576
grid69nDr1nDe0,2.842105,0.099593,0.024228,0.123821,12442,1039,1560,1560
grid65nDr0nDe3,5.050125,3.393364,2.830351,6.223715,429110,15295,31476,31476
grid68nDr0nDe2,9.624060,1.166215,0.214205,1.380420,138122,6294,12016,12016
grid67nDr0nDe3,4.726817,2.944241,1.016982,3.961223,381252,14036,29035,29035
grid68nDr1nDe1,9.015038,0.916036,0.121178,1.037214,116524,5501,10324,10324
grid69nDr0nDe2,4.210526,1.142086,0.117489,1.259575,144491,6130,11669,11669
metroplex50nDr0nDe1,2.729323,0.610840,0.063420,0.674260,77463,2762,7902,7902
grid69nDr1nDe1,2.796992,0.954791,0.100358,1.055149,121875,5621,10585,10585
metroplex50nDr0nDe2,9.278195,0.394060,0.048415,0.442475,49429,2035,5486,5486
grid6nDr1nDe0,2.315789,1.989517,0.215253,2.204770,244962,9143,18063,18063
grid6nDr0nDe1,2.175439,2.081719,0.241890,2.323609,267893,9834,19602,19602
grid70nDr1nDe0,2.210526,1.160867,0.161864,1.322731,144697,6049,11445,11445
grid6nDr1nDe1,3.245614,1.786812,0.245901,2.032713,230136,8629,16943,16943
metroplex49nDr1nDe1,11.080201,3.686768,1.097983,4.784751,458982,10787,40060,40060
grid6nDr0nDe3,6.355890,2.625286,0.485417,3.110703,335322,11851,24049,24049
metroplex4nDr1nDe0,3.578947,3.912038,1.182759,5.094797,448642,10614,38243,38243
metroplex49nDr0nDe2,3.105263,3.885630,3.627694,7.513324,505153,11903,44057,44057
grid6nDr0nDe2,2.879699,2.511201,0.291600,2.802801,317679,11297,22834,22834
grid70nDr0nDe2,2.834586,2.861313,0.680063,3.541376,362502,12784,26236,26236
grid70nDr0nDe1,7.621554,2.637725,0.472145,3.109870,335282,11859,24240,24240
metroplex50nDr1nDe0,3.315789,0.359486,0.043659,0.403145,45771,1937,5276,5276
grid69nDr0nDe3,6.644110,3.356745,0.808279,4.165024,430081,14951,30992,30992
metroplex50nDr1nDe1,9.591479,0.413098,0.051024,0.464122,53052,2230,6190,6190
grid70nDr1nDe1,5.115288,2.072613,0.780471,2.853084,268351,9900,19770,19770
metroplex4nDr0nDe1,2.619048,4.813499,1.376923,6.190422,540253,12272,44307,44307
grid72nDr1nDe0,2.315789,0.100191,0.028840,0.129031,12388,1058,1585,1585
grid72nDr0nDe1,7.443609,0.561126,0.043635,0.604761,70232,3528,6296,6296
metroplex4nDr1nDe1,12.709273,3.539768,2.504450,6.044218,448648,10618,38249,38249
