instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
metroplex10nDr1nDe1,2.040100,0.430313,0.251822,0.682135,54452,3690,11064,11064
metroplex10nDr1nDe0,2.421053,0.944188,0.108168,1.052356,107112,3780,11144,11144
metroplex0nDr1nDe1,3.832080,0.717650,0.476411,1.194061,88117,4312,13279,13279
metroplex10nDr0nDe2,4.944836,0.366709,0.941956,1.308665,45253,4397,13128,13128
metroplex0nDr1nDe0,2.052632,1.619593,0.262812,1.882405,207564,5387,16711,16711
metroplex0nDr0nDe1,3.298246,1.695556,1.291179,2.986735,216263,7151,24507,24507
metroplex11nDr1nDe0,2.105263,0.469610,0.046773,0.516383,60565,2393,6420,6420
metroplex10nDr0nDe1,6.957393,2.725331,2.037466,4.762797,333754,10143,37683,37683
metroplex11nDr0nDe1,9.644110,0.984023,2.101168,3.085191,124538,5234,16844,16844
metroplex0nDr0nDe2,11.558897,2.031971,3.660364,5.692335,256556,9874,36116,36116
metroplex11nDr1nDe1,13.180155,0.861682,1.308119,2.169801,102794,4734,14696,14696
metroplex12nDr0nDe1,7.225564,0.989196,1.079753,2.068949,120681,4763,14825,14825
metroplex12nDr1nDe0,2.052632,0.824073,0.107763,0.931836,107850,3113,8832,8832
metroplex11nDr0nDe2,4.558897,3.002456,5.757291,8.759747,372570,13150,51549,51549
metroplex12nDr0nDe2,8.521303,1.345515,3.285762,4.631277,171756,7513,25662,25662
metroplex13nDr0nDe1,9.939850,0.374600,0.597158,0.971758,47743,2919,8433,8433
metroplex11nDr0nDe3,6.654135,3.011338,6.610447,9.621785,365113,15059,59739,59739
metroplex12nDr1nDe1,2.869674,3.149841,1.519529,4.669370,404942,11172,42215,42215
metroplex13nDr1nDe0,2.210526,0.157782,0.016630,0.174412,20520,972,2136,2136
metroplex13nDr0nDe2,12.100251,0.762208,3.151238,3.913446,94964,5819,18703,18703
metroplex10nDr0nDe3,6.230576,3.614684,12.718377,16.333061,447772,16984,68441,68441
grid10nDr1nDe1,3.172932,0.601189,0.223456,0.824645,76060,5078,12067,12067
metroplex13nDr1nDe1,3.413534,0.898739,0.948359,1.847098,113991,4963,16082,16082
metroplex12nDr0nDe3,10.892231,0.990845,9.118894,10.109739,112979,7522,23495,23495
grid10nDr1nDe0,2.263158,1.502703,0.178571,1.681274,195047,7747,15169,15169
metroplex13nDr0nDe3,5.468672,1.153039,4.015881,5.168920,140032,8803,30071,30071
grid0nDr1nDe1,5.694236,1.376198,0.672857,2.049055,178498,8493,20823,20823
grid0nDr1nDe0,3.526316,2.061285,0.198047,2.259332,270507,9321,18832,18832
grid10nDr0nDe3,3.922306,0.466471,2.006364,2.472835,56040,7039,18865,18865
metroplex0nDr0nDe3,12.010025,2.899831,15.926977,18.826808,356056,14235,54717,54717
grid0nDr0nDe1,3.498747,2.123740,1.007885,3.131625,264418,11184,27883,27883
grid10nDr0nDe1,2.358396,1.647208,1.528505,3.175713,210430,10103,24719,24719
metroplex14nDr0nDe2,5.393484,0.275108,1.216687,1.491795,32361,4227,12419,12419
grid10nDr0nDe2,5.453634,2.991900,1.838482,4.830382,366742,16991,47282,47282
grid11nDr0nDe1,2.832080,1.528344,0.825417,2.353761,197362,9279,22578,22578
metroplex14nDr1nDe1,7.709273,0.471373,0.706199,1.177572,57347,3972,12591,12591
grid0nDr0nDe2,2.982456,2.406972,3.544478,5.951450,307677,14366,40307,40307
grid11nDr1nDe0,3.210526,0.582981,0.056648,0.639629,74144,3572,6349,6349
metroplex14nDr0nDe1,1.631579,3.638145,2.114687,5.752832,463640,13461,50885,50885
grid0nDr0nDe3,6.408521,2.809012,4.854872,7.663884,355472,17932,53735,53735
grid11nDr0nDe2,8.899749,1.956530,1.843675,3.800205,226676,12747,34867,34867
metroplex14nDr1nDe0,1.947368,3.298091,1.024312,4.322403,417068,10655,37750,37750
grid11nDr1nDe1,3.626567,0.510701,0.217622,0.728323,63549,4363,10456,10456
metroplex14nDr0nDe3,7.859649,1.279658,4.531610,5.811268,150159,10332,37362,37362
grid11nDr0nDe3,5.964912,0.857066,2.610565,3.467631,101489,9461,26871,26871
grid12nDr0nDe1,3.288221,1.461854,0.532135,1.993989,177095,9009,22035,22035
grid12nDr1nDe0,2.210526,1.038461,0.099700,1.138161,133862,5694,10692,10692
airport0nDr1nDe0,0.894737,0.107815,0.060621,0.168436,13978,1891,5760,5760
airport0nDr0nDe1,1.075188,0.177475,0.083029,0.260504,15301,3123,9806,9806
airport10nDr1nDe0,0.789474,0.292772,0.112734,0.405506,36715,3669,12179,12179
airport0nDr1nDe1,0.822055,0.245514,0.186342,0.431856,30152,4445,14716,14716
