"nNodes","nFlights","datFile","opt","totalTime","optTime","iterations","optimalIteration"
6,20,grid9,instance,513,49.259771,45.484441,1
6,20,grid10,instance,554,62.006993,57.893520,1
6,20,grid13,instance,452,64.169086,60.236357,1
6,20,grid6,instance,563,44.789232,42.546053,1
6,20,grid0,instance,484,50.307451,48.062175,1
6,20,grid18,instance,473,54.695897,52.441780,1
6,20,grid16,instance,488,55.542816,51.712560,1
6,20,grid2,instance,412,56.379019,52.501990,1
6,20,grid11,instance,542,56.855612,52.966286,1
6,20,grid8,instance,549,57.372301,53.669635,1
6,20,grid3,instance,526,57.686608,53.976287,1
6,20,grid4,instance,502,62.665051,58.974188,1
6,20,grid14,instance,514,85.280694,82.963494,1
6,20,grid17,instance,548,85.880692,83.648460,1
6,20,grid9,instance,513,67.084567,63.202588,1
6,20,grid15,instance,464,68.261678,64.542905,1
6,20,grid7,instance,544,90.471766,86.616071,1
6,20,grid13,instance,452,77.691225,75.369354,1
6,20,grid10,instance,554,77.751609,73.801942,1
6,20,grid7,instance,544,103.235351,101.010366,1
6,20,grid17,instance,548,103.542400,101.369921,1
6,20,grid1,instance,547,105.280559,101.652605,1
6,20,grid14,instance,514,106.029578,102.335763,1
6,20,metroplex3,instance,897,166.227793,159.863757,1
6,20,metroplex19,instance,853,166.313951,161.047046,1
6,20,metroplex11,instance,1012,168.902155,163.621611,1
6,20,metroplex5,instance,859,175.597623,167.380255,1
6,20,grid1,instance,547,187.824866,88.592407,2
6,20,metroplex10,instance,1019,167.504576,158.690616,1
6,20,metroplex4,instance,662,190.509946,185.146556,1
6,20,metroplex15,instance,712,168.774653,161.639310,1
6,20,metroplex2,instance,608,194.465418,187.838584,1
6,20,metroplex1,instance,783,197.248999,188.653531,1
6,20,metroplex12,instance,913,176.709367,170.341870,1
6,20,grid19,instance,555,199.427223,90.021921,2
6,20,metroplex4,instance,662,179.021354,173.665894,1
6,20,metroplex11,instance,1012,180.221297,174.867351,1
6,20,metroplex17,instance,874,202.693077,194.042902,1
6,20,metroplex12,instance,913,205.156206,196.572395,1
6,20,metroplex0,instance,746,208.578277,203.199484,1
6,20,metroplex10,instance,1019,209.403868,203.879863,1
6,20,metroplex6,instance,848,209.942607,204.220599,1
6,20,metroplex18,instance,683,210.219851,201.869041,1
6,20,metroplex9,instance,829,210.793368,201.698836,1
6,20,metroplex14,instance,813,189.272943,183.955346,1
6,20,metroplex13,instance,703,211.583412,202.981656,1
6,20,metroplex2,instance,608,189.894382,184.602579,1
6,20,metroplex7,instance,1008,212.739626,207.440281,1
6,20,metroplex16,instance,737,214.227968,208.913304,1
6,20,metroplex18,instance,683,194.337455,189.123418,1
6,20,metroplex1,instance,783,196.871631,191.654512,1
6,20,metroplex15,instance,712,220.928588,215.589674,1
6,20,metroplex14,instance,813,222.879413,217.563754,1
6,20,metroplex0,instance,746,202.109982,194.006236,1
6,20,metroplex9,instance,829,203.192814,198.062379,1
6,20,metroplex16,instance,737,206.661714,201.557036,1
6,20,grid19,instance,555,207.638665,103.016519,2
6,20,metroplex6,instance,848,211.881921,206.735960,1
6,20,metroplex3,instance,897,216.208485,211.097659,1
6,20,grid5,instance,585,239.535934,85.905608,3
6,20,metroplex13,instance,703,219.295856,213.684028,1
6,20,metroplex5,instance,859,221.415548,216.520836,1
6,20,metroplex19,instance,853,223.937148,219.083295,1
6,20,metroplex17,instance,874,227.484113,222.661415,1
6,20,metroplex8,instance,1044,236.651727,231.886275,1
6,20,metroplex7,instance,1008,238.165947,233.540207,1
6,20,grid5,instance,585,247.198379,106.370601,3
6,20,metroplex8,instance,1044,349.318013,230.734130,2
6,20,grid12,instance,665,579.718962,89.597359,7
6,20,grid12,instance,665,609.555146,109.973017,7
6,20,airport14,instance,865,1824.648355,140.052133,16
6,20,airport14,instance,865,1866.487936,162.640373,16
6,20,airport5,instance,1090,2893.006063,1307.969976,25
6,20,airport5,instance,1090,2898.025863,1315.978400,25
6,20,airport2,instance,896,2994.697389,396.985427,26
6,20,airport2,instance,896,3022.201624,411.944551,26
6,20,airport8,instance,1060,3073.976385,608.086984,27
6,20,airport8,instance,1060,3112.199416,631.091631,27
6,20,airport6,instance,1191,3169.408659,934.415829,28
6,20,airport18,instance,910,3169.995050,1608.176245,28
6,20,airport6,instance,1191,3191.198436,950.814597,28
6,20,airport18,instance,910,3199.667998,1628.171810,28
6,20,airport0,instance,812,3533.604466,131.394176,31
6,20,airport12,instance,1070,3542.374813,728.709090,31
6,20,airport11,instance,1000,3547.755229,1295.715384,31
6,20,airport12,instance,1070,3566.961678,747.187503,31
6,20,airport19,instance,1266,3596.080316,127.813297,32
6,20,airport11,instance,1000,3577.720125,1318.551970,31
6,20,airport15,instance,1117,3601.440997,253.995000,32
6,20,airport0,instance,812,3586.737170,156.282590,31
6,20,airport7,instance,1239,3635.043518,261.345673,32
6,20,airport19,instance,1267,3662.452566,160.992518,32
6,20,airport7,instance,1230,3679.203934,279.628165,32
6,20,airport15,instance,1117,3683.351351,291.214405,32
6,20,airport1,instance,1075,3770.370443,842.730787,33
6,20,airport13,instance,846,3785.826244,617.145270,33
6,20,airport1,instance,1075,3788.321568,853.729339,33
6,20,airport13,instance,846,3811.395558,625.668605,33
6,20,airport10,instance,967,3849.013601,387.061356,34
6,20,airport16,instance,1127,3859.547562,1384.359433,34
6,20,airport3,instance,940,3874.443685,611.383693,34
6,20,airport10,instance,967,3888.465430,398.722831,34
6,20,airport16,instance,1127,3889.919102,1398.646923,34
6,20,airport3,instance,940,3896.131192,625.243617,34
6,20,airport4,instance,974,4219.213313,2990.319558,37
6,20,airport4,instance,974,4218.932468,2989.177856,37
6,20,airport9,instance,1133,5251.549440,2906.713857,46
6,20,airport9,instance,1133,5238.163077,2909.177239,46
6,20,airport17,instance,1076,5287.447968,611.717765,47
6,20,airport17,instance,1076,5343.953827,618.491657,47
# iniziato 10,10010,100,airport0,instance,0,62493.854437,43821.980870,1
10,100,airport10,instance,0,62737.495445,44150.960971,1
10,100,airport11,instance,0,62761.685356,43888.768928,1
10,100,airport12,instance,0,62776.831737,44140.559401,1
10,100,airport13,instance,0,62680.699557,43769.222596,1
5,15,grid11,instance,293,9.676677,9.011759,1
5,15,grid4,instance,249,9.739939,8.989303,1
5,15,grid19,instance,365,9.802243,9.078502,1
5,15,grid18,instance,278,9.821083,9.151886,1
5,15,grid17,instance,280,9.765003,9.094653,1
5,15,grid10,instance,316,9.957026,9.237588,1
5,15,grid9,instance,306,9.845217,9.173841,1
5,15,grid1,instance,330,9.985863,9.305430,1
5,15,grid6,instance,329,9.948081,9.161027,1
5,15,grid12,instance,307,10.160428,9.484786,1
5,15,grid13,instance,398,10.187423,9.519716,1
5,15,grid14,instance,283,10.221719,9.520482,1
5,15,grid5,instance,349,10.882504,10.246136,1
5,15,grid16,instance,397,11.640290,10.997773,1
5,15,grid7,instance,320,12.679444,11.998060,1
5,15,grid2,instance,355,13.487079,12.873850,1
5,15,grid0,instance,365,15.898525,15.288290,1
5,15,grid8,instance,389,22.000456,21.375001,1
5,15,airport10,instance,613,25.883058,23.934888,1
5,15,grid15,instance,349,26.215040,25.520483,1
5,15,airport3,instance,622,26.730979,24.795589,1
5,15,metroplex17,instance,430,29.016515,27.550861,1
5,15,metroplex4,instance,388,29.168448,27.706225,1
5,15,metroplex7,instance,517,29.217918,27.768618,1
5,15,metroplex1,instance,583,29.546538,28.082817,1
5,15,metroplex5,instance,585,29.572544,28.001281,1
5,15,metroplex14,instance,515,29.608078,28.150935,1
5,15,metroplex9,instance,432,29.651013,28.161831,1
5,15,metroplex12,instance,533,29.849784,28.364402,1
5,15,metroplex6,instance,435,29.889196,28.398072,1
5,15,metroplex19,instance,630,29.918131,28.436042,1
5,15,metroplex2,instance,563,29.923505,28.434470,1
5,15,metroplex16,instance,552,29.951707,28.466490,1
5,15,metroplex11,instance,455,29.979748,28.479398,1
5,15,metroplex15,instance,544,30.003255,28.530182,1
5,15,metroplex3,instance,536,30.148348,28.685125,1
5,15,metroplex0,instance,761,30.179100,28.704696,1
5,15,metroplex18,instance,448,30.287123,28.813134,1
5,15,metroplex10,instance,806,30.353356,28.918012,1
5,15,metroplex13,instance,645,31.284702,29.893083,1
5,15,metroplex8,instance,639,31.461055,30.067235,1
5,15,grid3,instance,399,41.525015,40.958347,1
5,15,airport4,instance,380,50.398045,48.715860,1
5,15,airport9,instance,481,68.361033,66.688571,1
5,15,airport11,instance,450,159.850695,80.225312,2
5,15,airport12,instance,731,188.210062,186.636292,3
5,15,airport19,instance,512,238.079771,161.151723,3
5,15,airport16,instance,693,266.945511,80.725232,4
5,15,airport2,instance,541,269.887489,242.214704,4
5,15,airport13,instance,579,312.240666,80.065230,4
5,15,airport17,instance,451,375.374754,373.840862,5
5,15,airport5,instance,470,457.273914,401.069011,6
5,15,airport18,instance,455,467.215569,80.563396,6
5,15,airport6,instance,413,602.342332,600.810515,8
5,15,airport8,instance,482,1766.667576,241.993267,22
