"nNodes","nFlights","datFile","opt","totalTime","optTime","iterations","optimalIteration"
5,15,grid12,307,8.259108,7.666755,1,1
5,15,grid19,365,8.168890,7.549827,1,1
5,15,grid14,283,8.244820,7.642343,1,1
5,15,grid13,398,8.373892,7.775317,1,1
5,15,grid1,330,8.314554,7.419893,1,1
5,15,grid4,249,8.461332,7.836146,1,1
5,15,grid9,306,8.673468,8.076368,1,1
5,15,grid5,349,8.946317,8.368532,1,1
5,15,grid16,397,9.548594,8.936149,1,1
5,15,grid7,320,10.039122,9.483884,1,1
5,15,grid2,355,12.189835,11.565856,1,1
5,15,grid0,365,14.082696,13.428177,1,1
5,15,metroplex11,455,16.779338,15.373105,1,1
5,15,metroplex4,388,16.820157,15.354563,1,1
5,15,metroplex16,552,16.877870,15.465986,1,1
5,15,metroplex19,630,16.892484,15.445747,1,1
5,15,metroplex9,432,16.948282,15.453454,1,1
5,15,metroplex6,435,16.958542,15.427003,1,1
5,15,metroplex1,583,17.003365,15.580904,1,1
5,15,metroplex15,544,17.063133,15.652522,1,1
5,15,metroplex17,430,17.091695,15.672123,1,1
5,15,metroplex0,761,17.225708,15.798490,1,1
5,15,metroplex2,563,17.160373,15.732123,1,1
5,15,metroplex7,517,17.345274,15.920148,1,1
5,15,metroplex18,448,17.518603,16.091954,1,1
5,15,metroplex14,515,17.611448,16.029643,1,1
5,15,metroplex10,806,17.650464,16.108884,1,1
5,15,metroplex12,533,17.747677,16.313457,1,1
5,15,metroplex5,585,17.754820,16.366842,1,1
5,15,metroplex3,536,17.767286,16.362667,1,1
5,15,metroplex13,645,18.301274,16.917713,1,1
5,15,metroplex8,639,18.376633,16.980294,1,1
5,15,grid8,389,20.517989,19.962324,1,1
5,15,airport10,613,23.642464,21.897344,1,1
5,15,grid15,349,23.933531,23.394478,1,1
5,15,airport3,622,24.506533,22.757742,1,1
5,15,grid3,399,39.322765,38.797580,1,1
5,15,airport4,380,48.071706,46.415855,1,1
5,15,airport9,481,66.435710,64.784603,1,1
5,15,airport11,450,156.525071,78.327689,2,1
5,15,airport12,731,183.049971,181.504012,3,3
5,15,airport19,512,233.946190,158.415370,3,2
5,15,airport16,693,260.916808,78.889655,4,1
5,15,airport2,541,264.103781,238.013401,4,3
5,15,airport13,579,307.999776,78.812840,4,1
6,20,grid6,563,27.240434,25.289881,1,1
6,20,grid16,488,28.809472,25.564883,1,1
6,20,grid18,473,29.372221,25.974910,1,1
6,20,grid3,526,29.436341,26.212812,1,1
6,20,grid8,549,30.121509,27.971410,1,1
6,20,grid2,412,32.085355,30.161536,1,1
6,20,grid11,542,32.451566,29.231470,1,1
6,20,grid9,513,33.533516,31.635960,1,1
6,20,grid0,484,34.371275,32.432489,1,1
6,20,grid4,502,36.372667,33.491558,1,1
6,20,grid15,464,36.661703,33.336813,1,1
6,20,grid13,452,39.581866,37.110468,1,1
6,20,grid10,554,45.348880,43.278038,1,1
6,20,metroplex13,703,51.560480,47.441613,1,1
6,20,metroplex12,913,52.510880,48.468090,1,1
6,20,metroplex18,683,53.006230,48.845420,1,1
6,20,metroplex19,853,53.254350,49.174333,1,1
6,20,metroplex9,829,53.309528,49.186627,1,1
6,20,metroplex14,813,53.572451,49.410178,1,1
6,20,grid7,544,53.741968,51.884026,1,1
6,20,metroplex2,608,53.981276,49.877638,1,1
6,20,metroplex3,897,54.842372,50.809871,1,1
6,20,metroplex0,746,55.493566,51.405686,1,1
6,20,metroplex16,737,55.808785,51.568299,1,1
6,20,metroplex15,712,55.798636,51.769112,1,1
6,20,metroplex6,848,56.213988,52.110780,1,1
6,20,metroplex5,859,56.643343,52.573716,1,1
6,20,metroplex10,1019,58.092687,54.067251,1,1
6,20,metroplex4,662,59.787085,55.406827,1,1
6,20,grid14,514,60.312390,58.270097,1,1
6,20,metroplex11,1012,60.414652,56.151116,1,1
6,20,metroplex1,783,62.385132,57.851582,1,1
6,20,metroplex17,874,63.446836,58.759695,1,1
6,20,metroplex7,1008,65.357388,61.005361,1,1
6,20,grid1,547,68.702116,66.714705,1,1
6,20,grid17,548,72.331095,70.361896,1,1
5,15,airport17,451,373.499455,371.898814,5,5
6,20,metroplex8,1044,92.139535,88.417330,1,1
5,15,airport5,470,453.417186,397.410299,6,5
5,15,airport18,455,463.081653,78.307241,6,1
6,20,grid5,585,280.442221,79.139810,4,1
5,15,airport6,413,596.584507,595.051726,8,8
6,20,grid19,555,449.932304,83.187683,6,1
6,20,grid12,665,490.189175,80.617763,7,1
5,15,airport8,482,1745.779234,236.788752,22,3
5,15,airport15,598,2138.112291,157.320604,27,2
5,15,airport0,566,2139.726452,953.236848,27,12
5,15,airport14,533,2376.462983,1428.487127,30,18
5,15,airport7,595,2767.600240,952.040958,35,12
5,15,airport1,450,3080.966111,157.692634,39,2
6,20,airport15,1054,3426.840214,513.219182,27,4
6,20,airport2,909,3441.819164,381.913623,27,3
6,20,airport8,1161,3564.528902,1773.640246,28,14
6,20,airport11,963,3569.620749,1400.617917,28,11
6,20,airport14,865,3682.851437,125.402785,29,1
6,20,airport7,1187,3685.816053,1910.820169,29,15
6,20,airport5,1139,3687.880449,638.213000,29,5
6,20,airport13,832,3824.053172,2411.053912,30,19
6,20,airport18,1017,3937.948200,256.988910,31,2
6,20,airport0,812,4035.727244,127.750005,32,1
6,20,airport17,1158,4065.507225,503.137595,32,4
6,20,airport6,1290,4189.968795,1010.748862,33,8
6,20,airport1,1044,4304.002520,253.619561,34,2
6,20,airport12,1082,4552.488235,1023.323146,36,8
6,20,airport9,1089,4579.637072,2160.328774,36,17
6,20,airport19,1193,4581.596175,2034.163145,36,16
6,20,airport4,987,4670.159770,255.101039,37,2
6,20,airport16,1130,4715.793133,1656.710876,37,13
6,20,airport10,925,4717.119564,771.275899,37,6
6,20,airport3,859,4799.991787,886.592992,38,7
# new iterations with modified datum, defined through E and not V

