3,100,grid6,600,9918,602.844179,300.917936,2,1
3,100,grid8,600,11599,603.176735,301.004421,2,1
3,100,airport2,600,14780,603.664755,301.203870,2,1
3,100,airport7,600,15694,603.648445,301.190988,2,1
3,100,airport8,600,13074,603.836817,301.226210,2,1
3,100,airport12,600,15690,604.001336,301.219659,2,1
3,100,airport1,600,13940,604.036448,301.350667,2,1
3,100,airport10,600,13220,604.250641,301.156392,2,1
3,100,airport13,600,11921,604.213650,301.145012,2,1
3,100,airport17,600,14926,604.208722,301.300424,2,1
3,100,airport11,600,12126,604.480004,301.216675,2,1
3,100,airport14,600,12353,604.412802,301.137465,2,1
3,100,airport9,600,15325,604.463201,301.180454,2,1
3,100,airport0,600,14468,604.989414,301.468236,2,1
3,100,airport16,600,12152,604.925148,301.375061,2,1
3,100,airport4,600,14116,604.827250,301.197516,2,1
3,100,airport15,600,14565,605.217902,301.395080,2,1
3,100,airport19,600,17126,605.131441,301.564347,2,1
3,100,airport3,600,13636,605.287052,301.163914,2,1
3,100,airport5,600,13330,605.714023,301.285152,2,1
3,100,airport6,600,12428,605.719858,301.157493,2,1
3,100,airport18,600,13874,606.921039,301.822564,2,1
3,100,grid10,600,8581,4814.081321,603.180074,16,2
