airport1,60,+Inf,0.742546,+Inf,3,+Inf
airport25,60,1,1.999330,0.620692,7,3
airport2,60,1,2.070845,0.188726,4,1
airport18,60,1,2.413725,0.218717,4,1
airport28,60,3,2.248169,0.727312,5,2
airport21,60,0,2.511334,0.207792,4,1
airport15,60,1,2.596442,0.241019,4,1
airport20,60,5,2.745805,0.894516,5,2
airport27,60,1,3.288939,0.242133,4,1
airport13,60,0,3.640376,0.322059,4,1
airport14,60,1,3.836840,0.275720,4,1
airport35,60,+Inf,1.193321,+Inf,3,+Inf
airport19,60,0,4.620419,0.591143,5,2
airport38,60,0,1.469914,0.215224,4,1
airport32,60,0,2.851909,0.206678,4,1
airport0,60,1,5.550504,0.655416,5,2
airport40,60,1,1.990502,0.220306,4,1
airport29,60,1,6.533200,0.372431,4,1
airport43,60,1,1.996893,0.200483,4,1
airport41,60,0,2.696007,0.241706,4,1
airport44,60,1,2.994821,0.266841,4,1
airport47,60,1,2.487767,0.653889,6,3
airport16,60,3,9.108514,0.644612,7,1
airport45,60,6,3.490711,1.190730,5,2
airport31,60,2,7.073507,2.077755,5,2
airport4,60,0,1.857621,0.205343,4,1
airport36,60,0,7.220597,0.599424,4,1
airport52,60,+Inf,0.753021,+Inf,3,+Inf
airport34,60,1,8.663003,4.848845,8,5
airport48,60,1,5.070304,0.368658,4,1
airport58,60,+Inf,0.532283,+Inf,3,+Inf
airport49,60,1,4.448650,0.601295,5,2
airport56,60,0,2.402987,0.220889,4,1
airport50,60,2,4.153916,1.343772,5,2
airport60,60,+Inf,0.932764,+Inf,3,+Inf
airport57,60,3,3.235412,0.315509,4,1
airport59,60,1,1.968351,0.630882,6,3
airport30,60,4,13.788854,0.883530,8,2
