airport25,30,1,1.107165,0.744574,4,3
airport28,30,3,1.264129,0.718720,3,2
airport20,30,5,1.495256,0.882086,3,2
airport2,30,1,1.443621,0.189963,3,1
airport21,30,0,1.721133,0.209656,3,1
airport18,30,1,1.771640,0.282279,3,1
airport15,30,1,1.846884,0.241836,3,1
airport27,30,1,2.278693,0.239766,3,1
airport13,30,0,2.445353,0.297270,3,1
airport14,30,1,2.792315,0.339949,3,1
airport19,30,0,3.069513,0.595027,4,2
airport24,30,6,3.390022,0.370882,3,1
airport16,30,3,3.534006,0.655571,3,1
airport32,30,0,1.901938,0.189725,3,1
airport0,30,1,3.819546,0.653209,4,2
airport38,30,0,1.157036,0.161638,3,1
airport29,30,1,4.411546,0.379767,3,1
airport1,30,+Inf,4.657946,+Inf,21,+Inf
airport40,30,1,1.496872,0.219141,3,1
airport31,30,2,3.521856,2.069632,3,2
airport43,30,1,1.405398,0.193862,3,1
airport41,30,0,1.713060,0.250602,3,1
airport34,30,3,3.814307,0.618202,4,2
airport10,30,0,6.028804,0.503953,3,1
airport45,30,6,2.083751,1.250595,3,2
airport37,30,1,4.046863,2.285399,3,2
airport44,30,1,2.579752,0.373533,3,1
airport47,30,1,1.951430,0.751839,5,3
airport36,30,0,4.849024,0.489767,3,1
airport4,30,0,1.422266,0.262345,3,1
airport39,30,2,4.419718,4.401584,3,3
airport3,30,1,4.276767,0.677534,3,1
airport50,30,2,2.201999,1.307594,3,2
airport56,30,0,1.553498,0.208280,3,1
airport49,30,1,3.043663,0.631127,4,2
airport59,30,1,1.429997,0.532021,5,3
airport48,30,1,3.690048,0.365711,3,1
airport12,30,1,8.855571,8.819807,3,3
airport17,30,18,9.045386,9.028652,4,4
airport35,30,+Inf,7.261574,+Inf,21,+Inf
airport57,30,3,2.581882,0.395649,3,1
airport52,30,+Inf,3.900725,+Inf,21,+Inf
airport30,30,4,8.800068,0.900143,6,2
airport5,30,1,2.454858,0.313719,3,1
airport58,30,+Inf,3.154972,+Inf,21,+Inf
airport33,30,1,8.644445,8.628447,3,3
airport67,30,0,1.167334,0.178836,3,1
airport54,30,0,4.081115,2.440076,3,2
airport53,30,1,4.439649,0.372598,3,1
airport61,30,1,2.557923,0.275565,3,1
airport64,30,1,2.026394,2.018029,3,3
airport55,30,2,4.183947,2.369856,3,2
airport72,30,0,1.170384,0.184623,3,1
airport65,30,0,2.665721,0.356243,3,1
airport74,30,1,1.449739,0.185787,3,1
airport51,30,4,6.335461,3.780088,3,2
airport78,30,0,1.486078,0.201639,3,1
airport63,30,1,3.706595,2.198271,3,2
airport66,30,3,3.660299,0.422103,3,1
airport75,30,10,2.288845,0.269417,3,1
airport73,30,2,2.781418,1.669501,3,2
airport62,30,0,4.384948,0.608839,3,1
airport60,30,+Inf,5.555792,+Inf,21,+Inf
airport81,30,0,1.694453,0.226605,3,1
airport76,30,1,3.242715,0.341987,3,1
airport80,30,1,2.809700,0.357053,3,1
airport71,30,0,4.013171,3.995617,3,3
airport77,30,1,3.395291,0.316225,3,1
airport7,30,1,3.695351,0.555785,3,1
airport92,30,4,1.479666,0.891079,3,2
airport84,30,0,2.861987,0.304973,3,1
airport91,30,1,1.783908,0.198131,3,1
airport70,30,0,5.282450,0.395602,3,1
airport82,30,1,3.584717,2.134232,3,2
airport87,30,1,2.651835,0.255646,3,1
airport95,30,1,1.395346,0.211721,3,1
