instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport54,+Inf,1.024978,0.109623,1.134601,14685,14419,46150,46150,0
airport40,+Inf,0.477065,0.103115,0.580180,9605,9383,28763,28763,1
airport53,+Inf,1.388047,0.144078,1.532125,13415,13365,40345,40345,0
airport34,+Inf,0.895766,0.132450,1.028216,9387,9361,28812,28812,1
airport55,+Inf,1.265243,0.133290,1.398533,10915,10869,31465,31465,0
airport33,+Inf,1.276942,0.111951,1.388893,14501,14235,45597,45597,1
airport57,1.473684,1.016136,0.235505,1.251641,9611,9579,28182,28182,0
airport41,+Inf,0.618304,0.168119,0.786423,10589,10354,31513,31513,1
airport35,+Inf,1.463474,0.122885,1.586359,16713,16440,53297,53297,1
airport29,+Inf,1.299918,0.890820,2.190738,19426,17800,55623,55623,2
airport50,2.092732,0.970121,0.579301,1.549422,9881,9816,30213,30213,0
airport38,+Inf,0.477754,0.412371,0.890125,13093,11549,31505,31505,1
airport56,+Inf,0.940716,0.066040,1.006756,8764,8705,26328,26328,0
airport36,+Inf,1.566167,0.954242,2.520409,14966,14870,46552,46552,1
airport28,+Inf,0.722973,0.083818,0.806791,7015,6995,20247,20247,2
airport30,+Inf,0.524539,0.275556,0.800095,10245,10024,30951,30951,2
airport37,1.607547,1.499422,1.026695,2.526117,12804,12714,39139,39139,1
airport39,+Inf,1.250908,0.177695,1.428603,17559,16977,55234,55234,1
airport43,+Inf,0.395802,0.077400,0.473202,9439,9222,28703,28703,1
airport58,+Inf,1.012491,0.077063,1.089554,9115,8893,27000,27000,0
airport44,0.789474,1.021157,0.316283,1.337440,9965,9921,28613,28613,1
airport61,+Inf,0.944299,0.085680,1.029979,9499,9467,28111,28111,0
airport2,1.263158,0.711183,0.317186,1.028369,7993,7969,23170,23170,2
airport3,0.421053,1.475738,0.908329,2.384067,13199,13145,39021,39021,1
airport32,0.842105,0.926422,0.385592,1.312014,8361,8327,24117,24117,2
airport5,2.189025,0.859983,0.681520,1.541503,9745,9707,28591,28591,0
airport34,+Inf,0.698268,0.124182,0.822450,9417,9391,28857,28857,2
airport40,+Inf,0.420443,0.169741,0.590184,9635,9413,28806,28806,2
airport31,+Inf,1.274668,0.172460,1.447128,13711,13453,42836,42836,2
airport47,+Inf,0.477364,0.301669,0.779033,10506,9975,30207,30207,1
airport63,2.094756,1.009448,0.843881,1.853329,10677,10627,30721,30721,0
airport45,+Inf,1.024651,0.352197,1.376848,10136,10063,30648,30648,1
airport60,+Inf,0.971354,0.089330,1.060684,11530,11472,36594,36594,0
airport62,+Inf,1.343469,0.833693,2.177162,23566,20343,59295,59295,0
airport59,2.413995,0.748075,0.678973,1.427048,7338,7285,21594,21594,0
airport35,+Inf,1.098365,0.257451,1.355816,16745,16472,53341,53341,2
airport64,1.349042,0.439129,0.438414,0.877543,9457,9232,28223,28223,0
airport33,+Inf,1.190086,0.172113,1.362199,14533,14267,45643,45643,2
airport48,+Inf,0.879523,0.368855,1.248378,13948,13402,43099,43099,1
airport66,+Inf,1.361277,0.086150,1.447427,11937,11891,34740,34740,0
airport49,+Inf,0.857835,0.295618,1.153453,11619,11365,35644,35644,1
airport41,+Inf,0.858273,0.245421,1.103694,10619,10384,31554,31554,2
airport38,+Inf,0.600632,0.390824,0.991456,13123,11579,31542,31542,2
airport67,+Inf,0.559293,0.141351,0.700644,8455,8239,24721,24721,0
airport39,+Inf,1.203719,0.324946,1.528665,17601,17019,55291,55291,2
airport43,+Inf,0.488089,0.171430,0.659519,9469,9252,28744,28744,2
airport37,1.631579,1.241642,0.615123,1.856765,12836,12746,39185,39185,2
airport4,+Inf,0.734226,0.230080,0.964306,10377,9835,29166,29166,1
airport36,+Inf,1.564862,0.819784,2.384646,14992,14896,46589,46589,2
airport65,1.285714,0.906379,0.331024,1.237403,10073,10043,30027,30027,0
airport3,0.210526,1.275291,0.897305,2.172596,13229,13175,39066,39066,2
airport68,+Inf,0.851181,0.309233,1.160414,13285,12289,36684,36684,0
airport44,0.894737,0.898467,0.541269,1.439736,9995,9951,28658,28658,2
airport52,+Inf,0.974456,0.321032,1.295488,11081,10836,33666,33666,1
airport51,1.115176,1.435843,0.496690,1.932533,12601,12551,37031,37031,1
airport53,+Inf,1.463837,0.120032,1.583869,13445,13395,40390,40390,1
airport72,0.789474,0.479081,0.271807,0.750888,6325,6303,18116,18116,0
airport50,1.776942,0.776575,0.475267,1.251842,9911,9846,30258,30258,1
airport45,+Inf,1.132480,0.473219,1.605699,10168,10095,30694,30694,2
airport4,+Inf,0.456635,0.245575,0.702210,10399,9857,29193,29193,2
airport71,+Inf,1.361481,0.347149,1.708630,15234,14639,46421,46421,0
airport55,+Inf,1.211843,0.111125,1.322968,10947,10901,31513,31513,1
airport6,+Inf,1.375036,0.181310,1.556346,16464,16375,53138,53138,0
airport47,+Inf,0.597431,0.457323,1.054754,10534,10003,30245,30245,2
airport49,+Inf,0.809913,0.299703,1.109616,11649,11395,35685,35685,2
