instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport91,1001.473684,1.709479,4.122243,5.831722,11838,11788,41962,41962,0
airport84,1.157895,1.247421,4.683422,5.930843,13632,13572,48918,48918,0
airport80,1.734336,2.522466,4.548377,7.070843,11710,11642,40938,40938,0
airport97,1001.315789,0.914870,1.453549,2.368419,12928,12880,48057,48057,0
airport92,1001.776942,2.245219,3.361633,5.606852,12520,12454,43946,43946,0
airport74,1002.293233,2.233065,4.035979,6.269044,14220,14150,50896,50896,0
airport73,0.761905,2.171505,3.040315,5.211820,13794,13724,48369,48369,0
airport99,8001.305764,1.591650,1.978549,3.570199,13040,12982,46695,46695,0
airport88,3000.000000,2.457307,1.909791,4.367098,14106,14036,50362,50362,0
airport82,1.681704,1.774170,4.403227,6.177397,12498,12428,44128,44128,0
airport6,1.842105,2.926366,5.965040,8.891406,16446,16386,61509,61509,0
airport7,1001.105263,1.513006,2.701231,4.214237,11800,11734,41261,41261,0
airport60,1.105263,1.797931,7.342545,9.140476,14680,14604,53192,53192,0
airport94,1001.263158,1.596578,2.191120,3.787698,14114,14048,50457,50457,0
airport76,1001.681704,1.312160,3.909056,5.221216,13346,13278,47226,47226,0
airport86,1.681704,1.977244,3.910722,5.887966,12372,12316,44618,44618,0
airport78,2002.428571,1.549130,4.578146,6.127276,13774,13710,49454,49454,0
airport85,1000.807018,3.422663,3.686787,7.109450,14458,14398,52069,52069,0
airport90,1002.015038,1.316237,6.335833,7.652070,12940,12874,45178,45178,0
airport70,1.872180,1.606309,7.225466,8.831775,17278,17200,64999,64999,0
airport96,1.105263,2.036311,2.471090,4.507401,12280,12214,43409,43409,0
airport93,1.105263,3.077292,3.495619,6.572911,13834,13756,48628,48628,0
airport95,1.421053,2.330304,1.586794,3.917098,12784,12730,45478,45478,0
airport79,1.681704,2.668291,6.289496,8.957787,16424,16360,61768,61768,0
airport83,1.894737,1.990212,1.630896,3.621108,12060,12012,43122,43122,0
airport87,1.681704,1.316239,9.549212,10.865451,16862,16790,64366,64366,0
airport9,2.388471,1.704674,5.301922,7.006596,16718,16630,60664,60664,0
airport98,1.681704,1.567630,10.453634,12.021264,14326,14264,52447,52447,0
grid27,0.842105,6.164650,4.646218,10.810868,24914,24782,95622,95622,0
grid0,2004.864662,6.284781,7.447830,13.732611,21706,21566,80541,80541,0
grid15,2.428571,7.519117,8.202857,15.721974,26472,26318,101218,101218,0
grid1,1000.947368,7.565179,5.009378,12.574557,25820,25684,99480,99480,0
grid10,0.000000,6.804502,5.140991,11.945493,25114,24954,95216,95216,0
grid16,4003.107769,6.330912,6.365295,12.696207,25092,24954,94422,94422,0
grid21,4005.456140,6.731579,6.013288,12.744867,22774,22646,85935,85935,0
grid18,1002.508772,5.859382,8.512213,14.371595,22764,22632,86274,86274,0
grid49,0.684211,6.471213,5.197897,11.669110,23886,23754,91300,91300,0
grid43,2003.328321,4.688847,6.958631,11.647478,22466,22346,86762,86762,0
grid28,5.263158,7.371578,8.236594,15.608172,26742,26604,103201,103201,0
grid23,1001.771930,5.338989,7.282032,12.621021,22256,22134,84422,84422,0
grid14,1002.265664,6.036926,8.735709,14.772635,22774,22632,85081,85081,0
grid33,2.661654,6.542179,7.065475,13.607654,24726,24602,96315,96315,0
grid38,8002.681704,5.901095,6.338602,12.239697,24644,24512,93812,93812,0
grid31,1.789474,6.409463,2.640666,9.050129,22704,22586,86454,86454,0
grid42,0.000000,7.186167,4.058362,11.244529,24208,24054,91869,91869,0
grid4,0.468672,5.278756,6.649328,11.928084,23900,23750,90385,90385,0
grid25,2003.483709,7.134819,10.250653,17.385472,25236,25092,96511,96511,0
grid40,1.210526,6.438634,7.095013,13.533647,24302,24154,91117,91117,0
grid12,1003.791980,5.568456,13.925350,19.493806,24608,24442,93809,93809,0
