instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport90,0.789474,2.200049,1.269824,3.469873,12495,12441,43984,43984,0
airport76,8.012270,1.174848,4.177672,5.352520,11723,11679,42007,42007,0
airport70,+Inf,2.651705,0.336428,2.988133,14259,14221,54569,54569,0
airport93,+Inf,1.640214,0.275601,1.915815,11303,11259,39919,39919,0
airport87,+Inf,0.850116,0.358106,1.208222,9161,9141,34846,34846,0
airport95,1.473684,1.622099,1.281614,2.903713,9197,9161,32404,32404,0
airport83,1.559791,1.148584,1.915506,3.064090,11697,11649,41527,41527,0
airport79,1.000000,1.368569,2.145045,3.513614,15163,15111,56946,56946,0
airport9,+Inf,1.133133,0.278841,1.411974,11581,11537,41835,41835,0
airport98,+Inf,1.477438,0.237706,1.715144,13291,13237,48571,48571,0
grid27,+Inf,4.827047,0.403341,5.230388,17025,16943,64226,64226,0
grid15,6.854637,3.843570,0.964953,4.808523,13011,12951,47624,47624,0
grid21,+Inf,3.612986,0.295064,3.908050,12451,12395,45634,45634,0
grid43,+Inf,3.404065,0.381663,3.785728,14705,14645,55655,55655,0
grid1,+Inf,6.536177,0.641669,7.177846,22797,22685,87712,87712,0
grid0,2.473684,5.611270,3.093604,8.704874,18837,18739,70851,70851,0
grid49,+Inf,4.726528,0.479531,5.206059,17981,17901,68282,68282,0
grid23,+Inf,3.865646,0.335134,4.200780,17337,17259,65444,65444,0
grid28,+Inf,4.239075,0.362523,4.601598,13011,12953,47921,47921,0
grid18,+Inf,5.506783,0.374123,5.880906,14067,13985,51438,51438,0
grid16,+Inf,6.245291,0.577660,6.822951,21781,21683,82544,82544,0
grid14,+Inf,4.303332,0.431211,4.734543,11823,11763,42477,42477,0
grid38,+Inf,3.150640,0.364690,3.515330,11665,11603,41660,41660,0
grid33,+Inf,5.337067,0.573942,5.911009,20571,20479,79863,79863,0
grid10,1.341689,7.350725,3.250004,10.600729,24053,23929,91937,91937,0
grid25,3.676549,2.039124,0.763341,2.802465,10227,10185,36732,36732,0
grid42,+Inf,4.092236,0.384630,4.476866,21705,21595,83286,83286,0
grid4,+Inf,3.390012,0.342643,3.732655,13525,13463,49468,49468,0
grid31,+Inf,6.019491,0.607394,6.626885,19915,19815,75892,75892,0
grid20,+Inf,3.673501,0.244098,3.917599,12879,12813,46922,46922,0
grid11,+Inf,6.567190,0.495796,7.062986,20609,20505,78206,78206,0
grid35,+Inf,6.988560,0.665208,7.653768,22361,22235,84576,84576,0
grid12,+Inf,9.344130,0.655876,10.000006,23091,22975,88939,88939,0
grid37,+Inf,5.721261,0.416410,6.137671,20203,20105,77529,77529,0
grid51,+Inf,8.192649,0.681934,8.874583,21729,21615,84216,84216,0
grid26,2.263158,2.952490,1.213871,4.166361,13051,12991,48172,48172,0
grid22,+Inf,7.550802,0.551376,8.102178,20675,20571,77208,77208,0
grid17,+Inf,9.767051,1.023926,10.790977,25293,25179,99008,99008,0
grid3,2.070525,6.437096,3.839803,10.276899,21105,20991,80110,80110,0
grid30,+Inf,4.476448,0.424547,4.900995,16097,16023,59944,59944,0
grid52,+Inf,6.858042,0.483102,7.341144,18351,18259,69194,69194,0
grid13,+Inf,6.767521,0.525053,7.292574,17871,17785,67986,67986,0
grid32,+Inf,4.394921,0.815896,5.210817,15333,15253,56429,56429,0
grid36,+Inf,8.430660,0.457910,8.888570,20603,20503,78791,78791,0
grid47,+Inf,3.737994,0.259993,3.997987,12607,12547,46130,46130,0
grid54,+Inf,7.577649,0.797515,8.375164,21871,21755,83344,83344,0
grid48,+Inf,4.301037,0.593064,4.894101,15751,15665,57775,57775,0
grid24,+Inf,11.794390,1.013666,12.808056,22689,22583,87848,87848,0
grid67,+Inf,2.712581,0.237217,2.949798,12667,12607,46173,46173,0
grid39,+Inf,12.669540,0.495404,13.164944,22353,22243,85789,85789,0
grid53,+Inf,10.648835,1.036512,11.685347,25039,24929,96751,96751,0
grid56,+Inf,2.900686,0.586449,3.487135,11563,11507,41980,41980,0
grid59,+Inf,3.182480,0.367331,3.549811,12065,12015,44225,44225,0
grid5,+Inf,7.255793,0.336190,7.591983,17785,17693,66466,66466,0
grid46,4.335888,8.276193,5.702645,13.978838,19591,19495,74638,74638,0
grid64,+Inf,6.623600,0.585470,7.209070,14843,14773,54449,54449,0
grid55,+Inf,5.173388,0.379578,5.552966,15513,15437,57528,57528,0
grid6,+Inf,9.757416,0.525533,10.282949,19563,19465,73826,73826,0
grid19,+Inf,3.490702,0.351067,3.841769,13397,13329,48740,48740,0
grid29,+Inf,10.642924,1.050477,11.693401,22081,21969,85303,85303,0
grid50,+Inf,5.863574,0.614256,6.477830,20289,20201,78035,78035,0
grid62,+Inf,4.878135,0.986066,5.864201,18539,18449,69738,69738,0
grid69,+Inf,4.414712,0.355124,4.769836,12835,12775,47134,47134,0
grid63,+Inf,7.563371,1.013623,8.576994,23811,23701,91697,91697,0
grid72,+Inf,5.646140,0.379181,6.025321,14617,14553,54230,54230,0
grid73,+Inf,5.336704,0.492635,5.829339,18097,18015,68709,68709,0
grid71,+Inf,9.219353,0.545240,9.764593,23107,22991,89129,89129,0
grid45,+Inf,7.471930,0.526591,7.998521,19637,19549,75283,75283,0
grid78,+Inf,4.254844,0.660821,4.915665,17327,17243,65904,65904,0
grid65,+Inf,3.241518,0.232237,3.473755,12777,12727,47002,47002,0
grid2,+Inf,4.604022,0.432415,5.036437,15473,15403,57948,57948,0
