instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport58,2001.105263,0.635719,1.725311,2.361030,12156,12092,42746,42746,0
airport50,1.105263,1.231291,2.591545,3.822836,15782,15700,56939,56939,0
airport57,1002.052632,1.119407,1.197717,2.317124,14664,14604,52656,52656,0
airport61,1001.157895,0.839334,0.988048,1.827382,11738,11682,41180,41180,0
airport2,1001.315789,0.775108,1.027952,1.803060,12906,12850,45851,45851,1
airport5,1.681704,0.832251,1.731554,2.563805,12532,12468,44340,44340,0
airport29,1001.315789,0.746202,1.517348,2.263550,14356,14304,52934,52934,1
airport62,1001.473684,0.960769,1.355718,2.316487,13062,13012,47400,47400,0
airport32,1001.105263,0.922770,1.247238,2.170008,12708,12648,44704,44704,1
airport30,1001.368421,1.438972,1.006362,2.445334,12344,12292,43758,43758,1
airport64,1001.681704,0.805603,1.944831,2.750434,11928,11872,42089,42089,0
airport63,1001.681704,0.640006,2.084156,2.724162,11214,11154,38682,38682,0
airport59,1001.681704,1.051602,2.679769,3.731371,12886,12808,44978,44978,0
airport68,1001.421053,0.858823,1.833658,2.692481,13596,13536,48517,48517,0
airport31,1.681704,0.657563,1.899162,2.556725,12546,12478,44327,44327,1
airport23,1.157895,0.750860,1.084338,1.835198,11846,11792,42032,42032,2
airport65,1001.105263,0.949224,1.894084,2.843308,16474,16398,60338,60338,0
airport28,1.105263,0.994006,2.648084,3.642090,13646,13574,48561,48561,1
airport66,1002.105263,1.632260,0.925129,2.557389,12596,12540,44639,44639,0
airport42,1001.473684,0.993484,1.416630,2.410114,11488,11434,39996,39996,1
airport67,1002.892231,1.210328,1.555071,2.765399,13304,13252,48300,48300,0
airport69,3.260652,0.611623,2.276707,2.888330,12192,12136,43493,43493,0
airport40,1.210526,0.960902,1.134557,2.095459,13304,13246,47838,47838,1
airport60,1.105263,0.848721,3.575365,4.424086,14680,14604,53192,53192,0
airport22,1001.105263,0.951745,1.472868,2.424613,14044,13984,50917,50917,2
airport34,1.786967,0.856309,1.841252,2.697561,14112,14060,51949,51949,1
airport38,1.105263,0.934402,2.012951,2.947353,11980,11918,41625,41625,1
airport13,1001.210526,1.542599,1.138389,2.680988,14108,14048,50623,50623,2
airport3,1001.315789,1.506340,1.058161,2.564501,13556,13500,48603,48603,1
airport35,1.438596,1.401060,2.159508,3.560568,14956,14902,55350,55350,1
airport44,1001.105263,0.983348,0.718926,1.702274,11602,11544,39941,39941,1
airport19,1001.368421,0.995824,1.234667,2.230491,13214,13160,47502,47502,2
airport43,1001.210526,1.473818,1.148937,2.622755,12632,12582,45116,45116,1
airport27,1001.210526,1.358722,1.407646,2.766368,13738,13676,48798,48798,2
airport72,1.421053,0.874693,1.670395,2.545088,11998,11948,42780,42780,0
airport37,0.333333,1.563754,1.503786,3.067540,13148,13078,46068,46068,1
airport24,6001.315789,0.731431,0.999193,1.730624,13748,13696,50053,50053,2
airport75,1001.157895,0.764661,1.384574,2.149235,12318,12260,42986,42986,0
airport39,1.315789,1.211184,2.474571,3.685755,15086,15026,55002,55002,1
airport11,1.681704,0.881054,1.752277,2.633331,13274,13210,47469,47469,2
airport26,1001.578947,1.159066,2.685760,3.844826,14450,14392,51899,51899,2
airport36,1.105263,1.107421,3.239708,4.347129,13734,13666,49030,49030,1
airport15,1000.000000,0.989428,1.155946,2.145374,14494,14440,53343,53343,2
airport21,1.526316,1.544096,2.517743,4.061839,14756,14698,54287,54287,2
airport6,1.842105,2.106400,1.665521,3.771921,16446,16386,61509,61509,0
airport33,2001.105263,1.659923,2.701185,4.361108,14910,14834,53305,53305,1
airport18,1.315789,1.150462,1.330817,2.481279,13516,13454,48197,48197,2
airport71,2.007519,0.866571,1.410797,2.277368,11596,11542,40852,40852,0
airport0,1001.997494,1.054756,2.682138,3.736894,14184,14132,51635,51635,2
airport14,1.095238,0.859479,3.744120,4.603599,17146,17076,64238,64238,2
