instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
grid5,+Inf,9.378549,3.794262,13.172811,29053,27098,121192,121192,2
grid64,+Inf,6.387438,0.434252,6.821690,16509,16376,65022,65022,2
grid61,+Inf,14.518537,2.450144,16.968681,27453,27023,115452,115452,2
metroplex7,7.268408,12.877470,35.802650,48.680120,18601,18397,74095,74095,1
grid6,+Inf,11.715116,5.087346,16.802462,27983,26700,120512,120512,2
grid71,+Inf,11.055737,4.846299,15.902036,32627,31272,142180,142180,2
grid54,+Inf,11.820065,1.262166,13.082231,23660,23466,95823,95823,2
grid44,+Inf,13.146512,1.903223,15.049735,25105,24912,102395,102395,2
grid62,+Inf,13.624262,1.647980,15.272242,24480,23732,103655,103655,2
grid70,+Inf,11.329735,1.309091,12.638826,27026,26245,115461,115461,2
metroplex94,11.058897,21.614961,104.518165,126.133126,23529,23055,98868,98868,1
grid67,+Inf,6.415895,6.605599,13.021494,17832,17162,72955,72955,2
grid65,+Inf,5.082194,1.577848,6.660042,18097,17423,74341,74341,2
grid76,+Inf,10.821291,2.605525,13.426816,25396,24627,108706,108706,2
grid81,+Inf,10.220034,2.650682,12.870716,21105,20725,88528,88528,2
grid68,2.165028,11.846063,24.788418,36.634481,21265,20077,87097,87097,2
grid46,5.283257,29.888850,48.178805,78.067655,23189,22808,98114,98114,2
grid82,+Inf,13.655616,1.159723,14.815339,24417,24007,102830,102830,2
grid74,+Inf,8.310488,1.289818,9.600306,19362,18667,80310,80310,2
grid63,+Inf,15.868731,2.393792,18.262523,29793,28996,128663,128663,2
grid80,+Inf,7.188337,1.873803,9.062140,28611,27338,123521,123521,2
grid78,+Inf,8.002718,2.241107,10.243825,25227,23976,106846,106846,2
grid72,+Inf,14.833802,15.929623,30.763425,24889,23003,101499,101499,2
grid60,+Inf,8.778436,2.153366,10.931802,24787,23537,104560,104560,2
grid73,+Inf,6.929556,12.475576,19.405132,26311,25068,111818,111818,2
grid75,+Inf,18.484335,4.561039,23.045374,31677,30354,137963,137963,2
grid8,+Inf,12.683043,0.868779,13.551822,20047,19686,82963,82963,2
grid85,+Inf,19.205978,1.523568,20.729546,27135,26696,113460,113460,2
grid87,+Inf,9.077516,18.286015,27.363531,35052,31357,138433,138433,2
