instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport19,1001.368421,0.709261,0.804764,1.514025,13214,13160,39176,39176,2
airport53,1.095238,0.826267,0.556799,1.383066,14142,14082,42211,42211,0
airport18,1.315789,0.753448,1.008946,1.762394,15646,15360,49199,49199,2
airport26,1001.578947,0.891989,0.889124,1.781113,14450,14392,42827,42827,2
airport16,1.786967,0.682708,1.127251,1.809959,12880,12822,37767,37767,2
airport11,1.681704,0.657496,1.172878,1.830374,13274,13210,39385,39385,2
airport55,4001.105263,0.674609,0.809445,1.484054,12475,12388,38035,38035,0
airport10,3.010025,0.847360,1.112558,1.959918,14230,14170,42174,42174,2
airport25,4.428571,0.776023,1.160592,1.936615,12472,12400,35516,35516,2
airport35,1.438596,0.778126,0.903176,1.681302,16506,16227,52628,52628,1
airport54,2001.105263,0.649656,1.114801,1.764457,14174,13894,44009,44009,0
airport12,2001.105263,0.976907,1.170424,2.147331,19088,18778,61189,61189,2
airport21,1.526316,0.855742,1.181414,2.037156,18482,17882,58799,58799,2
airport0,1001.997494,1.287826,0.904122,2.191948,16248,15974,51566,51566,2
airport31,1.681704,0.905135,1.190565,2.095700,12546,12478,37037,37037,1
airport14,1.095238,0.817612,1.400866,2.218478,17146,17076,52872,52872,2
airport33,2001.105263,0.881344,1.278638,2.159982,17180,16872,54388,54388,1
airport37,0.333333,0.868480,0.745759,1.614239,13148,13078,37724,37724,1
airport20,2.776942,0.815691,1.435362,2.251053,13700,13618,39816,39816,2
airport34,1.786967,0.730405,1.326013,2.056418,14112,14060,42909,42909,1
airport36,1.105263,0.762744,1.083710,1.846454,16286,15997,51426,51426,1
airport3,1001.315789,0.796153,0.560673,1.356826,13556,13500,40151,40151,1
airport38,1.105263,0.747125,1.058010,1.805135,14462,14181,45046,45046,1
airport39,1.315789,0.979009,0.597891,1.576900,16914,16628,53660,53660,1
airport56,1001.105263,0.916991,0.671047,1.588038,15092,15022,45254,45254,0
airport40,1.210526,0.719364,0.635359,1.354723,15320,15046,48643,48643,1
airport57,1002.052632,0.985284,0.615721,1.601005,14664,14604,43350,43350,0
airport58,2001.105263,0.649691,0.864882,1.514573,14252,13970,44248,44248,0
airport41,1.681704,0.468028,0.856710,1.324738,9781,9701,28869,28869,1
airport42,1001.473684,0.859423,0.520539,1.379962,11488,11434,33232,33232,1
airport61,1001.157895,0.613774,0.522508,1.136282,11738,11682,34368,34368,0
airport62,1001.473684,0.695076,0.469814,1.164890,13062,13012,39038,39038,0
airport43,1001.210526,0.692071,0.804243,1.496314,12632,12582,37348,37348,1
airport5,1.681704,1.125745,0.985514,2.111259,12532,12468,36410,36410,0
airport59,1001.681704,0.820395,1.408420,2.228815,15458,15154,48060,48060,0
airport44,1001.105263,0.713415,0.463098,1.176513,11602,11544,33151,33151,1
airport60,1.105263,0.788941,1.754151,2.543092,17360,17062,55403,55403,0
airport63,1001.681704,0.975849,0.916026,1.891875,13516,13239,41548,41548,0
airport29,1001.210526,0.683565,0.663508,1.347073,14384,14332,44012,44012,2
airport66,1002.105263,1.049561,0.406128,1.455689,12596,12540,36483,36483,0
airport64,1001.681704,0.603385,0.991771,1.595156,14256,13988,44511,44511,0
airport45,1.200501,0.853771,1.072941,1.926712,15754,15460,49212,49212,1
airport47,1.684211,0.768483,0.857316,1.625799,14770,14714,45147,45147,1
airport28,1.105263,0.769649,1.750701,2.520350,16206,15913,51262,51262,2
airport67,1002.892231,0.791083,0.732026,1.523109,15498,15219,48967,48967,0
airport2,1001.210526,0.757519,0.529696,1.287215,12934,12878,38065,38065,2
airport65,1001.105263,0.961491,1.262649,2.224140,16474,16398,49386,49386,0
airport4,1001.157895,0.796972,0.566536,1.363508,13664,13604,40140,40140,1
airport48,1.894737,0.674620,1.055911,1.730531,16680,16415,54199,54199,1
airport49,1.263158,0.884063,0.824668,1.708731,13318,13258,38943,38943,1
